5	32	3.34331e+10	3.37541e+10	3.39618e+10	3.40617e+10	3.42017e+10	3.44341e+10	3.50433e+10	3.52969e+10	3.5549e+10	3.56579e+10	3.57859e+10	3.5839e+10	3.59312e+10	2.24229	0.604549	0.215203	0.170457	0.144299	0.13232	0.124369	0.115981	0.116985	0.117609	0.117044	0.103359	0.118334	
10	32	4.84955e+09	4.72097e+09	4.65225e+09	4.615e+09	4.57282e+09	4.46632e+09	4.34158e+09	4.21759e+09	4.14066e+09	4.12841e+09	4.11578e+09	4.09814e+09	4.09818e+09	4.44977	1.31711	0.474842	0.36573	0.30017	0.274891	0.253531	0.236888	0.23728	0.23034	0.231052	0.204541	0.23765	
15	32	4.33695e+09	4.16046e+09	4.05478e+09	4.02057e+09	3.95582e+09	3.82689e+09	3.6712e+09	3.4908e+09	3.40817e+09	3.3895e+09	3.39004e+09	3.36484e+09	3.36017e+09	6.6325	1.93795	0.686497	0.532622	0.450642	0.416781	0.389446	0.364769	0.349174	0.347187	0.354925	0.308644	0.354986	
20	32	3.54006e+09	3.39377e+09	3.29792e+09	3.26405e+09	3.2059e+09	3.0833e+09	2.94118e+09	2.80138e+09	2.74397e+09	2.73648e+09	2.70997e+09	2.69679e+09	2.70193e+09	8.92781	2.59265	0.917633	0.72043	0.60628	0.55786	0.519689	0.485961	0.473141	0.467959	0.478438	0.416997	0.471191	
25	32	2.73373e+09	2.59993e+09	2.52972e+09	2.50392e+09	2.45111e+09	2.34763e+09	2.23575e+09	2.11043e+09	2.05011e+09	2.03901e+09	2.03893e+09	2.02149e+09	2.01595e+09	10.9454	3.012	1.10057	0.876377	0.751961	0.702303	0.645504	0.604894	0.586604	0.583365	0.594501	0.518171	0.592138	
50	32	1.02204e+09	9.5798e+08	9.22238e+08	9.01518e+08	8.72415e+08	8.18332e+08	7.58666e+08	7.08007e+08	6.91284e+08	6.84027e+08	6.85749e+08	6.77957e+08	6.83114e+08	22.0001	5.9336	2.17482	1.74755	1.4894	1.40163	1.31422	1.23572	1.18622	1.16963	1.20548	1.04662	1.18776	
80	32	5.53694e+08	5.12295e+08	4.82195e+08	4.66907e+08	4.494e+08	4.14237e+08	3.73934e+08	3.5703e+08	3.61139e+08	3.62633e+08	3.67949e+08	3.62216e+08	3.67428e+08	35.1848	9.76973	3.50587	2.81302	2.41686	2.277	2.11378	1.96778	1.89041	1.87528	1.93283	1.69365	1.90703	
100	32	4.30449e+08	3.87385e+08	3.61462e+08	3.49449e+08	3.31581e+08	3.02993e+08	2.685e+08	2.63793e+08	2.75606e+08	2.84946e+08	2.89785e+08	2.84055e+08	2.88168e+08	43.7359	12.2807	4.45298	3.52799	3.02378	2.81965	2.63965	2.46078	2.37772	2.34749	2.41862	2.10549	2.38835	
150	32	2.54755e+08	2.17103e+08	1.99681e+08	1.89191e+08	1.77999e+08	1.64683e+08	1.54077e+08	1.66275e+08	1.84808e+08	1.95204e+08	1.9931e+08	2.04282e+08	2.06153e+08	65.5527	18.0558	6.5569	5.22039	4.47932	4.24277	3.96699	3.69652	3.55445	3.51803	3.62449	3.16834	3.58463	
200	32	1.80783e+08	1.46443e+08	1.32515e+08	1.25996e+08	1.1888e+08	1.14204e+08	1.1627e+08	1.37798e+08	1.49431e+08	1.59725e+08	1.60589e+08	1.64662e+08	1.66057e+08	87.5752	26.3396	9.31794	7.33009	6.21478	5.84637	5.39577	4.95983	4.77091	4.69404	4.84815	4.23485	4.78995	
