100	32	3.68702e+08	3.48193e+08	3.30227e+08	3.10643e+08	2.97126e+08	2.80889e+08	2.55274e+08	2.4411e+08	2.53667e+08	2.8099e+08	2.77809e+08	2.74947e+08	2.89156e+08	43.9841	12.0107	4.3256	3.43671	2.97785	2.82186	2.65235	2.45106	2.36094	2.33401	2.40793	2.09566	2.39082	
200	32	1.71853e+08	1.54566e+08	1.37869e+08	1.24889e+08	1.27839e+08	1.08038e+08	1.19888e+08	1.34367e+08	1.37598e+08	1.6441e+08	1.69296e+08	1.76819e+08	1.88944e+08	87.6448	26.0806	9.46468	7.32323	6.2217	5.80839	5.38343	4.99862	4.77383	4.70356	4.85604	4.24173	4.79064	
300	32	9.42538e+07	8.10273e+07	7.58201e+07	7.37941e+07	7.06697e+07	6.60936e+07	9.08488e+07	1.08593e+08	1.02372e+08	1.23386e+08	1.32139e+08	1.41866e+08	1.4848e+08	131.28	36.852	13.3743	10.5856	9.04256	8.62994	8.08303	7.4339	7.13921	7.03778	7.27799	6.3672	7.17936	
400	32	6.16826e+07	5.22124e+07	4.90695e+07	5.0949e+07	5.12093e+07	4.97489e+07	7.90678e+07	1.39584e+09	8.57643e+07	1.01956e+08	1.09098e+08	1.08514e+08	1.20279e+08	174.67	48.2658	17.6357	13.9645	12.0561	11.5755	10.8751	10.0948	9.52784	9.38945	9.68992	8.47919	9.59142	
500	32	4.68099e+07	3.97108e+07	3.81208e+07	3.67434e+07	3.71443e+07	4.23005e+07	6.63879e+07	7.92063e+07	7.35181e+07	8.97284e+07	9.5096e+07	8.83632e+07	9.8628e+07	218.817	64.4787	23.6964	18.3879	15.7824	14.7978	13.6665	12.6012	11.9738	11.8019	12.1462	10.5915	12.0038	
600	32	3.7201e+07	3.10484e+07	2.94734e+07	2.85171e+07	2.75036e+07	3.44869e+07	5.5132e+07	6.8602e+07	6.2232e+07	7.45462e+07	7.6399e+07	7.69773e+07	8.24973e+07	263.658	77.4251	27.8505	21.6317	18.5716	17.3938	16.2665	15.1337	14.3286	14.0942	14.4832	12.7372	14.392	
700	32	2.94186e+07	2.60236e+07	2.42525e+07	2.40407e+07	2.41693e+07	2.892e+07	4.29851e+07	5.59184e+07	5.44888e+07	6.24104e+07	6.23095e+07	6.40798e+07	6.71276e+07	305.858	93.2789	33.1631	25.8524	22.0369	20.6645	19.1808	17.7617	16.7877	16.4367	16.9921	14.8704	16.8118	
800	32	2.39812e+07	2.16578e+07	2.05349e+07	2.03687e+07	1.99424e+07	2.3702e+07	3.46373e+07	4.33577e+07	4.22576e+07	5.20985e+07	5.14244e+07	5.57991e+07	5.42598e+07	349.519	96.5559	35.2709	27.7958	24.2817	22.9385	21.6121	20.1583	19.1863	18.9132	19.3906	16.9623	19.1749	
900	32	1.93013e+07	1.83889e+07	1.68834e+07	1.66819e+07	1.66676e+07	1.96166e+07	2.77981e+07	3.42933e+07	3.56028e+07	4.08141e+07	4.05216e+07	3.96427e+07	4.5737e+07	392.954	112.959	40.1808	31.7395	27.4926	26.2703	24.8967	22.85	21.6252	21.2921	21.9678	19.1231	21.5738	
1000	32	1.6111e+07	1.55419e+07	1.40774e+07	1.39609e+07	1.39267e+07	1.59936e+07	2.00157e+07	2.82883e+07	2.91243e+07	3.45858e+07	3.12066e+07	3.28146e+07	3.10097e+07	437.548	131.28	47.7683	37.3525	32.0166	29.8767	27.7411	25.5227	24.1339	23.7302	24.5558	21.5054	24.0553	
1100	32	1.37019e+07	1.3085e+07	1.17425e+07	1.12571e+07	1.17282e+07	1.34039e+07	1.6154e+07	2.12187e+07	2.32555e+07	2.6964e+07	2.69722e+07	2.87074e+07	2.77478e+07	480.285	143.847	52.0973	40.7082	35.2162	33.1424	30.3157	27.7279	26.2801	25.9004	26.7899	23.4859	26.4067	
1200	32	1.15988e+07	1.12553e+07	1.00844e+07	9.37638e+06	9.98307e+06	1.1276e+07	1.33705e+07	1.74765e+07	1.90965e+07	2.28227e+07	2.08564e+07	2.32271e+07	2.33399e+07	525.026	158.06	58.179	44.821	37.7425	35.378	32.8678	30.4836	28.8167	28.3128	29.3148	25.5578	28.8408	
100	32	1.82483e+09	1.83308e+09	1.80665e+09	1.81446e+09	1.80813e+09	1.80535e+09	1.81178e+09	1.80718e+09	1.80864e+09	1.83044e+09	1.81413e+09	1.81804e+09	1.82179e+09	67.1998	19.7994	7.52102	5.21664	4.30898	4.16089	3.8359	3.53607	3.16243	3.28765	2.89871	3.43131	2.96718	
200	32	1.27018e+09	1.28886e+09	1.27116e+09	1.2596e+09	1.27292e+09	1.28088e+09	1.28679e+09	1.27641e+09	1.25027e+09	1.31324e+09	1.26739e+09	1.28616e+09	1.25539e+09	134.137	37.2053	14.1886	10.0359	8.33616	8.13849	7.61558	7.04927	6.29285	6.58291	5.76934	6.85456	5.94886	
300	32	9.93044e+08	1.02912e+09	1.032e+09	1.00601e+09	1.02562e+09	1.01171e+09	1.02403e+09	1.04139e+09	9.79101e+08	1.06929e+09	1.00365e+09	1.02445e+09	1.00244e+09	200.557	59.3344	22.344	15.5855	12.8511	12.4062	11.4821	10.6672	9.49642	9.85341	8.72741	10.2835	8.93723	
400	32	8.50761e+08	8.84818e+08	8.86949e+08	8.61021e+08	8.83668e+08	8.46087e+08	8.83615e+08	9.07083e+08	8.27467e+08	9.12512e+08	8.55261e+08	8.65107e+08	8.42179e+08	268.213	80.4424	30.5502	21.0802	17.568	17.0859	15.5764	14.3788	12.6323	13.2492	11.6334	13.835	11.9988	
500	32	7.86611e+08	8.13812e+08	8.18885e+08	8.03281e+08	8.21532e+08	7.62915e+08	8.41074e+08	8.53575e+08	7.29156e+08	8.55948e+08	8.03968e+08	7.97979e+08	7.65208e+08	334.981	100.634	38.7158	26.6355	21.4631	20.7772	19.2118	17.8362	15.9246	16.4922	14.5074	17.1842	14.8917	
600	32	7.42603e+08	7.62565e+08	7.67584e+08	7.48006e+08	7.64864e+08	6.97338e+08	7.78457e+08	7.55174e+08	6.57329e+08	8.0179e+08	7.53787e+08	7.22498e+08	6.84302e+08	403.658	120.793	45.1561	31.8609	26.3247	25.5434	23.4749	21.5876	19.0055	19.7554	17.3921	20.7657	17.946	
700	32	7.21119e+08	7.22495e+08	7.43539e+08	7.07141e+08	7.30957e+08	6.60537e+08	7.41435e+08	6.84675e+08	6.17722e+08	7.60011e+08	7.17916e+08	6.73868e+08	6.30056e+08	468.916	137.056	51.1132	36.6142	30.3859	29.5238	27.4005	25.2899	22.1487	23.0339	20.2671	24.0083	20.8918	
