5	32	3.34331e+10	3.37541e+10	3.39618e+10	3.40617e+10	3.42017e+10	3.44341e+10	3.50433e+10	3.52969e+10	3.5549e+10	3.56579e+10	3.57859e+10	3.5839e+10	3.59312e+10	2.19278	0.659302	0.226826	0.177673	0.147882	0.13531	0.126786	0.116279	0.116624	0.113429	0.117946	0.102616	0.118254	
10	32	4.84955e+09	4.72097e+09	4.65225e+09	4.615e+09	4.57282e+09	4.46632e+09	4.34158e+09	4.21759e+09	4.14066e+09	4.12841e+09	4.11578e+09	4.09814e+09	4.09818e+09	4.42728	1.23289	0.431996	0.340627	0.291514	0.272239	0.254575	0.240844	0.238534	0.235231	0.241606	0.205364	0.237042	
15	32	4.33695e+09	4.16046e+09	4.05478e+09	4.02057e+09	3.95582e+09	3.82689e+09	3.6712e+09	3.4908e+09	3.40817e+09	3.3895e+09	3.39004e+09	3.36484e+09	3.36017e+09	6.74582	1.96172	0.69138	0.533053	0.450497	0.414906	0.389458	0.363839	0.351102	0.350429	0.357514	0.310052	0.357966	
20	32	3.54006e+09	3.39377e+09	3.29792e+09	3.26405e+09	3.2059e+09	3.0833e+09	2.94118e+09	2.80138e+09	2.74397e+09	2.73648e+09	2.70997e+09	2.69679e+09	2.70193e+09	8.77743	2.63999	0.953192	0.73976	0.615209	0.567036	0.519795	0.482349	0.463795	0.464986	0.476279	0.415947	0.478102	
25	32	2.73373e+09	2.59993e+09	2.52972e+09	2.50392e+09	2.45111e+09	2.34763e+09	2.23575e+09	2.11043e+09	2.05011e+09	2.03901e+09	2.03893e+09	2.02149e+09	2.01595e+09	11.1072	3.18132	1.12017	0.875426	0.75186	0.703777	0.651385	0.607365	0.596518	0.586938	0.599164	0.521948	0.594614	
50	32	1.02204e+09	9.5798e+08	9.22238e+08	9.01518e+08	8.72415e+08	8.18332e+08	7.58666e+08	7.08007e+08	6.91284e+08	6.84027e+08	6.85749e+08	6.77957e+08	6.83114e+08	21.9892	6.50234	2.33153	1.82547	1.55203	1.4275	1.33017	1.24121	1.19364	1.17665	1.20999	1.05263	1.19905	
80	32	5.53694e+08	5.12295e+08	4.82195e+08	4.66907e+08	4.494e+08	4.14237e+08	3.73934e+08	3.5703e+08	3.61139e+08	3.62633e+08	3.67949e+08	3.62216e+08	3.67428e+08	35.0451	9.62369	3.55872	2.83734	2.42781	2.30577	2.13609	1.9817	1.91495	1.88302	1.95212	1.70152	1.93483	
100	32	4.30449e+08	3.87385e+08	3.61462e+08	3.49449e+08	3.31581e+08	3.02993e+08	2.685e+08	2.63793e+08	2.75606e+08	2.84946e+08	2.89785e+08	2.84055e+08	2.88168e+08	43.8036	12.0383	4.42755	3.51499	3.02206	2.85414	2.65629	2.48371	2.38747	2.3671	2.44827	2.13522	2.40904	
150	32	2.54755e+08	2.17103e+08	1.99681e+08	1.89191e+08	1.77999e+08	1.64683e+08	1.54077e+08	1.66275e+08	1.84808e+08	1.95204e+08	1.9931e+08	2.04282e+08	2.06153e+08	65.7338	18.1078	6.67695	5.25816	4.51597	4.31256	4.00845	3.72442	3.58473	3.53317	3.67265	3.19741	3.62255	
200	32	1.80783e+08	1.46443e+08	1.32515e+08	1.25996e+08	1.1888e+08	1.14204e+08	1.1627e+08	1.37798e+08	1.49431e+08	1.59725e+08	1.60589e+08	1.64662e+08	1.66057e+08	87.4329	26.2069	9.45746	7.41746	6.32271	5.89324	5.39825	5.01635	4.78339	4.75723	4.89703	4.28424	4.83169	
300	32	1.01227e+08	8.22979e+07	7.81442e+07	7.40855e+07	7.33785e+07	7.53017e+07	8.25873e+07	1.07807e+08	1.2213e+08	1.31236e+08	1.30443e+08	1.42318e+08	1.44234e+08	131.075	39.0926	13.9905	10.882	9.23429	8.70944	8.04514	7.46702	7.2302	7.13448	7.38868	6.43267	7.24188	
