100	1	2.45966e+06	2.45966e+06	2.36186e+06	2.40384e+06	2.37014e+06	2.23488e+06	2.11983e+06	2.21084e+06	1.33117	1.20748	1.20767	1.22142	1.21255	1.21268	1.20376	1.22733	
200	1	2.0987e+06	2.0987e+06	2.19558e+06	2.09189e+06	1.93456e+06	1.88925e+06	2.05016e+06	2.07812e+06	2.54696	2.42685	2.43097	2.42258	2.43485	2.42282	2.42457	2.42299	
300	1	1.83422e+06	1.83422e+06	1.86169e+06	1.96912e+06	1.80127e+06	1.76773e+06	1.88785e+06	1.99256e+06	3.81202	3.6377	3.64066	3.62659	3.63205	3.62754	3.64828	3.63911	
400	1	1.65007e+06	1.65007e+06	1.75604e+06	1.70905e+06	1.63663e+06	1.57778e+06	1.85452e+06	1.87724e+06	5.10273	4.84222	4.84852	4.84304	4.84661	4.836	4.84639	4.83235	
500	1	1.37315e+06	1.37315e+06	1.42136e+06	1.5079e+06	1.33994e+06	1.45577e+06	1.58412e+06	1.93056e+06	6.36809	6.03966	6.0659	6.07327	6.08004	6.07803	6.04557	6.06897	
600	1	1.14907e+06	1.14907e+06	1.17702e+06	1.156e+06	1.12869e+06	1.21912e+06	1.46161e+06	1.33522e+06	7.65419	7.28554	7.31071	7.28117	7.27105	7.28131	7.28548	7.28954	
700	1	975056	975056	1.01896e+06	991572	950610	945930	1.17937e+06	1.24074e+06	8.94809	8.45469	8.4555	8.45026	8.43988	8.44195	8.48858	8.48183	
800	1	838604	838604	888131	858628	827614	809622	910832	963342	10.1771	9.68578	9.70652	9.68894	9.67598	9.69529	9.69147	9.67784	
900	1	759047	759047	782375	750483	731453	715343	683501	713067	11.4324	10.9154	10.9324	10.9219	10.8876	10.8989	10.8792	10.9341	
1000	1	638324	638324	690582	664986	651599	645523	589551	560790	12.6807	12.1092	12.1459	12.1188	12.1311	12.1281	12.0984	12.1478	
1100	1	559225	559225	616568	591596	585377	589822	549230	490053	13.9894	13.3404	13.3946	13.3465	13.3623	13.3224	13.3628	13.3433	
1200	1	493208	493208	550625	529492	525457	540218	520208	466825	15.2918	14.532	14.5374	14.5042	14.5612	14.4667	14.5909	14.4788	
100	1	1.06301e+08	1.06301e+08	8.37164e+07	8.26914e+07	7.72126e+07	7.63979e+07	7.21669e+07	7.12748e+07	5.42365	5.11028	5.14148	5.1231	5.16496	5.12905	5.12091	5.16039	
200	1	8.34488e+07	8.34488e+07	6.82056e+07	6.87441e+07	6.58081e+07	6.18669e+07	6.26643e+07	6.22604e+07	10.8802	10.245	10.266	10.2351	10.2302	10.2358	10.2376	10.2389	
300	1	7.2027e+07	7.2027e+07	6.08337e+07	5.79297e+07	5.47718e+07	5.23312e+07	5.23001e+07	5.26546e+07	16.2392	15.3602	15.3745	15.3326	15.333	15.4649	15.3349	15.3537	
400	1	5.83133e+07	5.83133e+07	5.17749e+07	4.63957e+07	4.57883e+07	4.30369e+07	4.33214e+07	4.29724e+07	21.6529	20.4262	20.4962	20.4601	20.4891	20.4852	20.4269	20.4608	
500	1	4.70841e+07	4.70841e+07	4.37373e+07	3.76314e+07	3.81606e+07	3.49041e+07	3.55334e+07	3.46457e+07	27.0793	25.5674	25.6256	25.5858	25.5679	25.6101	25.5923	25.5501	
600	1	3.83058e+07	3.83058e+07	3.59182e+07	3.12488e+07	2.9867e+07	2.93009e+07	2.84549e+07	2.78299e+07	32.5115	30.6669	30.8547	30.7916	30.811	30.7503	30.8243	30.787	
