100	1	2.45966e+06	2.45966e+06	2.44302e+06	2.30508e+06	2.20816e+06	1.97574e+06	1.94984e+06	2.10245e+06	1.27992	1.2293	1.21532	1.21225	1.22831	1.21868	1.21557	1.21231	
200	1	2.0987e+06	2.0987e+06	2.02484e+06	1.77699e+06	1.5584e+06	1.35641e+06	1.35644e+06	1.14827e+06	2.5447	2.42681	2.45033	2.42563	2.41408	2.42481	2.41753	2.4256	
300	1	1.83422e+06	1.83422e+06	1.901e+06	1.56882e+06	1.42843e+06	1.26841e+06	1.2152e+06	1.10553e+06	3.81291	3.63634	3.64655	3.65481	3.6265	3.63143	3.63919	3.65888	
400	1	1.65007e+06	1.65007e+06	1.62368e+06	1.42881e+06	1.21136e+06	1.13275e+06	1.07918e+06	951245	5.11252	4.8709	4.86477	4.8352	4.83623	4.82585	4.83802	4.84012	
500	1	1.37315e+06	1.37315e+06	1.35779e+06	1.19534e+06	1.08043e+06	981634	935259	862594	6.34255	6.06822	6.085	6.05352	6.03334	6.03294	6.06453	6.04296	
600	1	1.14907e+06	1.14907e+06	1.10576e+06	955857	850378	818098	835415	777323	7.61245	7.2738	7.24735	7.23924	7.23985	7.22145	7.23024	7.20639	
700	1	975056	975056	954514	923244	677888	676269	633077	574914	8.88021	8.3867	8.40615	8.40828	8.42402	8.3726	8.38114	8.38268	
800	1	838604	838604	834654	770926	586807	526621	519636	476040	10.1431	9.60164	9.62532	9.59344	9.60135	9.57415	9.58645	9.58595	
900	1	759047	759047	732345	661382	518266	439179	408961	363878	11.4562	10.8387	10.8687	10.8742	10.8508	10.8149	10.8245	10.8227	
1000	1	638324	638324	646579	575922	460090	400097	321919	308650	12.6603	12.1173	12.1226	12.1334	12.0883	12.0798	12.0721	12.0548	
1100	1	559225	559225	576812	505616	414618	362223	292988	250298	13.964	13.2318	13.2644	13.2405	13.3218	13.2025	13.2129	13.2931	
1200	1	493208	493208	514587	446565	371416	335143	276807	201735	15.2422	14.5103	14.5247	14.5013	14.5014	14.4733	14.4856	14.4574	
